"aha_id","year","Core","ClinInteropFx","DataUse","breadth_of_exchange","Friction","Barriers","Methods","InfoBlocking","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6211570",2025,50,0.625,0.25,0.625,24.1798941798942,0.677777777777778,0.0476190476190476,0,0,1,0,0,"Metro","Meditech",NA,2.2114289
"6211600",2025,91.6666666666667,1,1,0.75,36.984126984127,0.411111111111111,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.490646
"6211650",2025,16.6666666666667,0.25,0,0.25,0,0,0,0,0,0,1,0,"Metro","Meditech",1,1.6354469
"6211660",2025,83.3333333333333,1,0.5,1,21.957671957672,0.166666666666667,0.492063492063492,0,0,1,0,0,"Metro","Altera Digital Health",1,1.490646
"6211670",2025,41.6666666666667,0.5,0.75,0,23.3333333333333,0.533333333333333,0.166666666666667,0,0,1,0,0,"Metro","Epic",NA,2.2114289
"6211680",2025,83.3333333333333,1,0.5,1,21.957671957672,0.166666666666667,0.492063492063492,0,1,0,0,0,"Metro","Altera Digital Health",1,1.4890608
"6211690",2025,66.6666666666667,0.75,0.75,0.5,39.8941798941799,0.466666666666667,0.396825396825397,0.333333333333333,0,1,0,0,"Micro","Meditech",NA,2.3741946
"6211720",2025,79.1666666666667,1,0.75,0.625,48.4656084656085,0.7,0.753968253968254,0,0,0,1,1,"Micro","Epic",1,1.8494166
"6211880",2025,83.3333333333333,1,0.5,1,21.957671957672,0.166666666666667,0.492063492063492,0,0,1,0,0,"Metro","Altera Digital Health",1,1.490646
"6211980",2025,91.6666666666667,1,1,0.75,36.984126984127,0.411111111111111,0.698412698412698,0,1,0,0,0,"Metro","Epic",1,1.5238466
"6212010",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,0,1,0,0,"Metro","Epic",1,1.657099
"6212040",2025,91.6666666666667,0.875,1,0.875,32.1693121693122,0.322222222222222,0.642857142857143,0,0,1,0,0,"Micro","Cerner",1,1.7632353
"6212230",2025,54.1666666666667,0.875,0.5,0.25,18.4656084656085,0.411111111111111,0.142857142857143,0,0,0,1,1,"Metro","Epic",1,2.01407
"6212320",2025,83.3333333333333,1,0.75,0.75,18.8359788359788,0.366666666666667,0.198412698412698,0,0,1,0,1,"Rural","Meditech",NA,2.3420565
"6212350",2025,91.6666666666667,1,0.75,1,42.8571428571429,0.444444444444444,0.841269841269841,0,0,1,0,1,"Rural","Epic",1,1.7632353
"6212357",2025,83.3333333333333,1,0.5,1,12.962962962963,0,0.388888888888889,0,1,0,0,0,"Metro","Altera Digital Health",1,1.4890608
"6212380",2025,79.1666666666667,1,0.75,0.625,48.4656084656085,0.7,0.753968253968254,0,0,0,1,0,"Micro","Epic",1,1.9653661
"6212565",2025,79.1666666666667,1,0.75,0.625,48.4656084656085,0.7,0.753968253968254,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6212630",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,1,0,0,0,"Metro","Epic",1,1.5115956
"6212655",2025,87.5,1,1,0.625,68.7301587301587,0.466666666666667,0.595238095238095,1,0,1,0,0,"Metro","Epic",NA,1.8247393
