"aha_id","year","Find","Send","Receive","Integrate","ClinInteropFx","Available","Used","DataUse","HospitalSend","HospitalReceive","AmbSend","AmbReceive","LTPACSend","LTPACReceive","BHSend","BHReceive","breadth_of_exchange","Barrier_Send","Barrier_Receive","Barrier_Other","Barriers","MFind","MSend","MReceive","Methods","IB_Extent_EHR","IB_Extent_HIE","IB_Extent_Prov","InfoBlocking","Core","Friction","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6141110",2025,1,1,0.5,0,0.625,1,0.5,0.75,0.5,0.5,1,0,0.5,0,0,0,0.3125,0.833333333333333,0.666666666666667,0.8,0.766666666666667,0.333333333333333,0.571428571428571,0,0.301587301587302,0,0,0,0,56.25,35.6084656084656,0,1,0,0,"Metro","Meditech",NA,2.2114289
"6141130",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.333333333333333,0,0.222222222222222,0.5,0.857142857142857,0.571428571428571,0.642857142857143,0,0,0,0,100,28.8359788359788,0,1,0,0,"Metro","Epic",1,1.490646
"6141430",2025,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,0.8125,0.333333333333333,0.5,0.5,0.444444444444444,1,0.714285714285714,0.428571428571429,0.714285714285714,0,0,0,0,93.75,38.6243386243386,0,0,1,0,"Micro","Epic",1,1.9884837
"6141640",2025,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,0.8125,0.333333333333333,0.5,0.5,0.444444444444444,1,0.714285714285714,0.428571428571429,0.714285714285714,0,0,0,0,93.75,38.6243386243386,0,0,1,1,"Micro","Epic",1,1.9884837
"6141705",2025,0.5,1,0.5,1,0.75,1,1,1,0.5,0,0.5,0,0.5,0,0.5,0,0.25,0.833333333333333,0.666666666666667,0.7,0.733333333333333,0,0.428571428571429,0.142857142857143,0.19047619047619,0,0,0,0,66.6666666666667,30.7936507936508,0,1,0,0,"Metro","Meditech",1,1.490646
"6142000",2025,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.5,0,0.5625,0.666666666666667,0.333333333333333,0.2,0.4,0.5,0.571428571428571,0.428571428571429,0.5,0,0,0,0,85.4166666666667,30,0,1,0,0,"Metro","Epic",1,1.6728343
"6149199",2025,0.5,1,0.5,1,0.75,1,1,1,0.5,0,0.5,0,0.5,0,0.5,0,0.25,0.833333333333333,0.666666666666667,0.7,0.733333333333333,0,0.428571428571429,0.142857142857143,0.19047619047619,0,0,0,0,66.6666666666667,30.7936507936508,0,0,1,1,"Metro","Meditech",1,2.01407
"6150080",2025,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.5,0,0.5625,0.666666666666667,0.333333333333333,0.2,0.4,0.5,0.571428571428571,0.428571428571429,0.5,0,0,0,0,85.4166666666667,30,0,1,0,0,"Metro","Epic",1,1.6728343
"6150130",2025,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.5,0,0.5625,0.666666666666667,0.333333333333333,0.2,0.4,0.5,0.571428571428571,0.428571428571429,0.5,0,0,0,0,85.4166666666667,30,0,1,0,0,"Metro","Epic",1,1.6281549
"6150150",2025,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.5,0,0.5625,0.666666666666667,0.333333333333333,0.2,0.4,0.5,0.571428571428571,0.428571428571429,0.5,0,0,0,0,85.4166666666667,30,1,0,0,0,"Metro","Epic",1,1.4890608
"6150205",2025,0,0.5,0.5,0,0.25,0.5,0,0.25,0,0,0,0.5,0,0,0,0,0.0625,0.5,0.666666666666667,1,0.722222222222222,0,0,0,0,0,0,0,0,18.75,24.0740740740741,0,1,0,0,"Metro","Epic",1,1.6728343
"6160001",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.833333333333333,0,0.388888888888889,0.666666666666667,0.857142857142857,0.714285714285714,0.746031746031746,1,0,1,0.666666666666667,100,60.0529100529101,0,1,0,0,"Metro","Epic",1,1.7829912
"6160003",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.833333333333333,0,0.388888888888889,0.666666666666667,0.857142857142857,0.714285714285714,0.746031746031746,1,0,1,0.666666666666667,100,60.0529100529101,1,0,0,0,"Metro","Epic",1,1.4890608
"6160009",2025,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.5,0.333333333333333,0.5,0.3,0.377777777777778,1,0.142857142857143,0.142857142857143,0.428571428571429,0,0,0,0,83.3333333333333,26.8783068783069,0,1,0,0,"Metro","Epic",NA,2.2114289
"6160010",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.833333333333333,0,0.388888888888889,0.666666666666667,0.857142857142857,0.714285714285714,0.746031746031746,1,0,1,0.666666666666667,100,60.0529100529101,0,1,0,0,"Metro","Epic",1,1.6728343
"6160013",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.833333333333333,0,0.388888888888889,0.666666666666667,0.857142857142857,0.714285714285714,0.746031746031746,1,0,1,0.666666666666667,100,60.0529100529101,0,1,0,0,"Metro","Epic",1,1.6728343
"6160070",2025,0.5,1,1,0.5,0.75,1,0.5,0.75,0,0.5,0.5,0.5,0.5,0.5,0,0,0.3125,0.666666666666667,0.333333333333333,0.6,0.533333333333333,0,0.857142857142857,0.285714285714286,0.380952380952381,0,0,0,0,60.4166666666667,30.4761904761905,0,1,0,0,"Metro","Meditech",NA,2.2114289
"6160100",2025,1,1,1,1,1,0.5,0.5,0.5,1,0.5,1,0.5,1,0,0,0,0.5,0.833333333333333,0.666666666666667,0.6,0.7,0.833333333333333,0.571428571428571,0.285714285714286,0.563492063492063,0,1,1,0.666666666666667,66.6666666666667,64.3386243386243,0,1,0,0,"Metro","Cerner",1,1.6728343
"6160340",2025,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0,1,0.5,0.75,0.333333333333333,0.166666666666667,0.3,0.266666666666667,0.333333333333333,0.428571428571429,0.285714285714286,0.349206349206349,0,0,0,0,91.6666666666667,20.5291005291005,0,1,0,0,"Metro","Epic",NA,2.2114289
"6160450",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0.8125,1,0.333333333333333,0.5,0.611111111111111,0.833333333333333,0.428571428571429,0.571428571428571,0.611111111111111,1,0,0,0.333333333333333,93.75,51.8518518518518,0,1,0,0,"Metro","Epic",NA,2.2114289
"6160530",2025,1,1,1,1,1,0.5,0.5,0.5,1,0.5,1,0.5,1,0,0,0,0.5,0.833333333333333,0.666666666666667,0.6,0.7,0.833333333333333,0.571428571428571,0.285714285714286,0.563492063492063,0,1,1,0.666666666666667,66.6666666666667,64.3386243386243,0,1,0,0,"Metro","Cerner",1,1.6728343
"6160560",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.833333333333333,0,0.388888888888889,0.666666666666667,0.857142857142857,0.714285714285714,0.746031746031746,1,0,1,0.666666666666667,100,60.0529100529101,0,1,0,0,"Metro","Epic",1,1.6728343
"6160610",2025,1,1,1,1,1,0.5,0.5,0.5,1,0.5,1,0.5,1,0,0,0,0.5,0.833333333333333,0.666666666666667,0.6,0.7,0.833333333333333,0.571428571428571,0.285714285714286,0.563492063492063,0,1,1,0.666666666666667,66.6666666666667,64.3386243386243,0,0,1,0,"Micro","Cerner",1,1.8494166
"6160710",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.833333333333333,0,0.388888888888889,0.666666666666667,0.857142857142857,0.714285714285714,0.746031746031746,1,0,1,0.666666666666667,100,60.0529100529101,0,1,0,0,"Micro","Epic",1,1.6558578
"6160810",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.833333333333333,0,0.388888888888889,0.666666666666667,0.857142857142857,0.714285714285714,0.746031746031746,1,0,1,0.666666666666667,100,60.0529100529101,0,0,1,0,"Metro","Epic",1,1.8714032
"6210001",2025,0.5,1,1,1,0.875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.25,0.333333333333333,0.5,0.4,0.411111111111111,0,0.285714285714286,0.142857142857143,0.142857142857143,0,0,0,0,54.1666666666667,18.4656084656085,0,1,0,0,"Micro","Epic",1,1.6123059
"6210007",2025,1,0.5,0.5,0.5,0.625,0.5,0.5,0.5,1,0.5,1,0.5,1,0,1,0,0.625,0.666666666666667,0.833333333333333,1,0.833333333333333,0.333333333333333,0,0,0.111111111111111,0,1,1,0.666666666666667,58.3333333333333,53.7037037037037,0,0,1,0,"Rural","Meditech",1,1.9884837
"6210024",2025,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.5,0.833333333333333,0.5,0.6,0.644444444444444,0.666666666666667,0.857142857142857,0.714285714285714,0.746031746031746,0,0,1,0.333333333333333,83.3333333333333,57.4603174603175,1,0,0,0,"Metro","Epic",1,1.4890608
"6210025",2025,1,1,1,0.5,0.875,0,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.166666666666667,0.333333333333333,0.1,0.2,0.166666666666667,0.285714285714286,0.142857142857143,0.198412698412698,0,0,0,0,54.1666666666667,13.2804232804233,0,1,0,0,"Metro","Meditech",NA,1.8834013
"6210030",2025,1,0,0,1,0.5,1,0.5,0.75,0,0,0,0,0,0,0,0,0,0.5,0.5,0.6,0.533333333333333,0.5,0,0,0.166666666666667,0,0,0,0,41.6666666666667,23.3333333333333,1,0,0,0,"Metro","Epic",NA,2.2075148
"6210033",2025,1,1,1,1,1,1,0.5,0.75,1,1,1,0.5,0.5,0.5,0.5,0,0.625,0.833333333333333,0.666666666666667,0.6,0.7,0.833333333333333,0.857142857142857,0.571428571428571,0.753968253968254,0,0,0,0,79.1666666666667,48.4656084656085,0,1,0,0,"Micro","Epic",1,1.4782664
"6210034",2025,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.5,0.444444444444444,0.666666666666667,0.857142857142857,0.428571428571429,0.650793650793651,0,0,0,0,83.3333333333333,36.5079365079365,1,0,0,0,"Metro","Epic",NA,2.2934027
"6210037",2025,1,1,1,0.5,0.875,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333333333,0.333333333333333,0.3,0.322222222222222,1,0.714285714285714,0.857142857142857,0.857142857142857,0,0,0,0,95.8333333333333,39.3121693121693,0,1,0,0,"Metro","Epic",1,1.490646
"6210039",2025,1,1,1,1,1,0.5,1,0.75,1,0,1,0,1,0,1,0,0.5,0.5,0.666666666666667,0.6,0.588888888888889,0.166666666666667,0.571428571428571,0.428571428571429,0.388888888888889,0,0,0,0,75,32.5925925925926,0,1,0,0,"Metro","Meditech",NA,2.2114289
"6210170",2025,1,0.5,1,0.5,0.75,1,0.5,0.75,1,0.5,1,0,1,0,1,0,0.5625,0.666666666666667,0,0.8,0.488888888888889,0.166666666666667,0.142857142857143,0.142857142857143,0.150793650793651,0,0,1,0.333333333333333,68.75,32.4338624338624,0,1,0,0,"Micro","Meditech",NA,2.3741946
"6210280",2025,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,0.5,0,0,0.166666666666667,0.333333333333333,0.571428571428571,0.571428571428571,0.492063492063492,0,0,0,0,83.3333333333333,21.957671957672,0,1,0,0,"Metro","Altera Digital Health",1,1.490646
"6210335",2025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.9375,0.166666666666667,0.333333333333333,0.1,0.2,0.666666666666667,0.714285714285714,0.714285714285714,0.698412698412698,0,0,0,0,97.9166666666667,29.9470899470899,0,1,0,0,"Metro","Epic",1,1.6728343
